artist,year,lyrics,recognized,name,topic1,topic2,decade,id,song_hash
50 Cent,2005,"Yeah... 
Uh huh 
So seductive 
I'll take you to the candy shop 
I'll let you lick the lollypop 

Go 'head girl, don't you stop 

Keep going 'til you hit the spot (woah) 



I'll take you to the candy shop 

Boy one taste of what I got 

I'll have you spending all you got 

Keep going 'til you hit the spot (woah) 



You can have it your way, how do you want it 

You gon' back that thing up or should i push up on it 

Temperature rising, okay lets go to the next level 

Dance floor jam packed, hot as a teakettle 

I'll break it down for you now, baby it's simple 



If you be a nympho, I'll be a nympho 

In the hotel or in the back of the rental 

On the beach or in the park, it's whatever you into 

Got the magic stick, I'm the love doctor 

Have your friends teasin you 'bout how sprung I gotcha 

Wanna show me how you work it baby, no problem 



Get on top then get to bouncing round like a low rider 

I'm a seasons vet when it come to this shit 

After you work up a sweat you can play with the stick 

I'm tryin to explain baby the best way I can 

I melt in your mouth girl, not in your hands (ha ha) 



I'll take you to the candy shop 

I'll let you lick the lollypop 

Go 'head girl, don't you stop 

Keep going 'til you hit the spot (woah) 



I'll take you to the candy shop 

Boy one taste of what I got 

I'll have you spending all you got 

Keep going 'til you hit the spot (woah) 



Girl what we do (what we do) 

And where we do (and where we do) 

The things we do (things we do) 

Are just between me and you (oh yeah) 



Give it to me baby, nice and slow 

Climb on top, ride like you in the rodeo 

You ain't never heard a sound like this before 

Cause I ain't never put it down like this 

Soon as I come through the door she get to pullin on my zipper 



It's like it's a race who can get undressed quicker 

Isn't it ironic how erotic it is to watch em in thongs 

Had me thinking 'bout that ass after I'm gone 

I touch the right spot at the right time 

Lights on or lights off, she like it from behind 

So seductive, you should see the way she wind 



Her hips in slow-mo on the floor when we grind 

As Long as she ain't stoppin, homie I aint stoppin 

Drippin wet with sweat man its on and popping 

All my champagne campaign, bottle after bottle its on 

And we gon' sip til every bubble in every bottle is gone 



I'll take you to the candy shop 

I'll let you lick the lollypop 

Go 'head girl, don't you stop 

Keep going 'til you hit the spot (woah) 



I'll take you to the candy shop 

Boy one taste of what I got 

I'll have you spending all you got 

Keep going 'til you hit the spot (woah)",0,Candy Shop,Desire (love/flirting),Dancing (clubbing/happy),2000,45,Candy Shop50 Cent
Gnarls Barkley,2006,"I remember when, I remember, I remember when I lost my mind

There was something so pleasant about that place.

Even your emotions had an echo

In so much space

And when you're out there

Without care,

Yeah, I was out of touch

But it wasn't because I didn't know enough

I just knew too much



Does that make me crazy?

Does that make me crazy?

Does that make me crazy?

Possibly [radio version]

probably [album version]



And I hope that you are having the time of your life

But think twice, that's my only advice



Come on now, who do you, who do you, who do you, who do you think you are,

Ha ha ha bless your soul

You really think you're in control



Well, I think you're crazy

I think you're crazy

I think you're crazy

Just like me



My heroes had the heart to lose their lives out on a limb

And all I remember is thinking, I want to be like them

Ever since I was little, ever since I was little it looked like fun

And it's no coincidence I've come

And I can die when I'm done



Maybe I'm crazy

Maybe you're crazy

Maybe we're crazy

Probably



Uh, uh",0,Crazy,Motivation (independance/confidence),Struggle (mental health/societal issue),2010,46,CrazyGnarls Barkley
Akon,2007,"Convict...Music...and you know we up front.

I see you windin' and grindin' up on that pole

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



Money in the air as mo' fell

Grab you by your coattail, take you to the motel, ho sale

Don't tell, wont tell, baby say ?I don't talk, Dogg unless you told on me? - oh well

Take a picture wit me, what the flick gon' do

Baby stick to me and I'ma stick on you

If you pick me then I'ma pick on you

d-o-double g and I'm here to put this d*** on you

I'm stuck on p**** and your's is right

Rip ridin' the poles and them doors is tight

And I'ma get me a shot 'fo the end of the night

Cause p**** is p**** and baby you're p**** for life



I see you windin' and grindin' up on that pole

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



Shorty I can see you ain't lonely

Handful of n***** and they all got cheese

See you lookin' at me now what its gon' be

Just another tease far as I can see

Tryna get you up out this club if it means spendin' a couple dubs

Throwin' bout 30 stacks in the back make it rain like that cause I'm far from a scrub

And you know my pedigree, ex-deala use to move amphetamines

Girl I spend money like it don't mean nothing and besides I got a thing for you.



I see you windin' and grindin' up on that pole,

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know girl



Mobbin' through the club and I'm low pressin'

I'm sittin' in the back in the smoker's section (just smokin')

Birds eye, I got a clear view

You can't see me, but I can see you (baby I see you) -mm

It's cool, we jet, the mood is set, your p* is wet

You're rubbin' your back and touchin' your neck

Your body is movin', you humpin' and jumpin'

Your t****** is bouncin', you smilin' and grinnin' and lookin' at me



Girl and while your looking at me I'm ready to hit the caddy

Right up on the patio move the patty to the caddy

Baby you got a phatty, the type I like to marry

Wantin' to just give you everything and that's kinda scary

Cause I'm loving the way you shake your ass

Bouncin', got me tippin' my glass

normally don't get caught up too fast

But I got a thing for you



I see you windin' and grindin' up on that pole,

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



I see you windin' and grindin' up on that pole,

I know you see me lookin' at you and you already know

I wanna fuck you, you already know

I wanna fuck you, you already know



girl...",1,I Wanna Love You,Desire (love/flirting),Love (devotion),2000,47,I Wanna Love YouAkon
Sara Bareilles,2008,"Head under water

And they tell me... to breathe easy for a while

The breathing gets harder... even I know that

Made room for me but it's too soon to see

If I'm happy in your hands

I'm unusually... hard to hold on to

Blank stares at blank pages

No easy way to say this

You mean well, but you make this hard on me



I'm not gonna write you a love song

'Cause you asked for it

'Cause you need one, you see

I'm not gonna write you a love song

'Cause you tell me it's

Make or break in this

If you're on your way

I'm not gonna write you... to stay

If all you have is leaving I'm gonna need a better

Reason to write you... a love song today

Today, yeah



I learned the hard way

That they all say... things you want to hear

And my heavy heart... sinks deep down under you and

Your twisted words,

Your help just hurts

You are not what I thought you were

Hello... to high and dry

Convinced me to please you

Made me think that I need this too

I'm trying to let you hear me as I am



I'm not gonna write you a love song

'Cause you asked for it

'Cause you need one, you see

I'm not gonna write you a love song

'Cause you tell me it's

Make or break in this

If you're on your way

I'm not gonna write you to stay

If all you have is leaving I'm gonna need a better

Reason to write you... a love song today



Promise me... you'll leave the light on

To help me see... with daylight, my guide, gone

'Cause I believe there's a way... you can love me

Because I say

I won't write you a love song

'Cause you asked for it

'Cause you need one, you see

I'm not gonna write you a love song

'Cause you tell me it's make or break in this

Is that why you wanted a love song

'Cause you asked for it

'Cause you need one, you see



I'm not gonna write you a love song

'Cause you tell me it's make or break in this

If you're on your way

I'm not gonna write you... to stay

If your heart is nowhere in it

I don't want it for a minute

Babe, I'll walk the seven seas when I believe that

There's a reason to

Write you... a love song today

Today (yeah eh eh eh)",0,Love Song,Break-up (heartbreak),Motivation (independance/confidence),2010,48,Love SongSara Bareilles
Beyoncé,2009,"All the single ladies. all the single ladies...

Now put your hands up

Up in the club, just broke up

I'm doing my own little thing

He decided to dip, but now you wanna trip

Cause another brother noticed me

I'm up on him, he up on me

Don't pay him any attention

Cried my tears, for three good years

Ya can't be mad at me



Cause if you liked it then you should have put a ring on it

If you liked it then you should have put a ring on it

Don't be mad once you see that he want it

If you liked it then you should have put a ring on it

Ooo, ooooo, oooo



Cause if you liked it then you should have put a ring on it

If you liked it then you should have put a ring on it

Don't be mad once you see that he want it

If you liked it then you should have put a ring on it

Ooo, ooooo, oooo



I put gloss on my lips, a man on my hips

Fit me tighter than my in my Dereon jeans

Acting up, drank in my cup

I could care less what you think

I need no permission, did I mention

Don't pay him any attention

Cause you had your turn

But now you gonna learn

What it really feels to miss me



Cause if you liked it then you should have put a ring on it

If you liked it then you should have put a ring on it

Don't be mad once you see that he want it

If you liked it then you should have put a ring on it

Ooo, ooooo, oooo



Cause if you liked it then you should have put a ring on it

If you liked it then you should have put a ring on it

Don't be mad once you see that he want it

If you liked it then you should have put a ring on it

Ooo, ooooo, oooo



Don't treat me 2 the things of the world

I'm not that kind of girl

Your love is what I prefer, what I deserve

He's a man that makes me then takes me

And delivers me to a destiny, to infinity and beyond

Pull me into your arms

Say I'm the one you want

If you don't, you'll be alone

Like a ghost I'll be gone



All the single ladies, all the single ladies...

Now put your hands up

Ooo, ooooo, oooo, ooo



Cause if you liked it then you should have put a ring on it

If you liked it then you should have put a ring on it

Don't be mad once you see that he want it

If you liked it then you should have put a ring on it

Ooo, ooooo, oooo



Cause if you liked it then you should have put a ring on it

If you liked it then you should have put a ring on it

Don't be mad once you see that he want it

If you liked it then you should have put a ring on it

Ooo, ooooo, oooo",0,Single Ladies (Put a Ring on It),Break-up (heartbreak),Motivation (independance/confidence),2000,49,Single Ladies (Put a Ring on It)Beyoncé
Lady Gaga,2010,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!

Caught in a bad romance

Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!

Caught in a bad romance

Rah-rah-ah-ah-ah-ah!

Roma-roma-mamaa!

Ga-ga-ooh-la-la!

Want your bad romance



Rah-rah-ah-ah-ah-ah!

Roma-roma-mamaa!

Ga-ga-ooh-la-la!

Want your bad romance



I want your ugly

I want your disease

I want your everything

As long as it's free

I want your love

(Love-love-love I want your love)



I want your drama

The touch of your hand

I want your leather-studded kiss in the sand

I want your love

Love-love-love

I want your love

(Love-love-love I want your love)



You know that I want you

And you know that I need you

I want it bad, your bad romance



I want your love and

I want your revenge

You and me could write a bad romance

(Oh-oh-oh--oh-oh!)

I want your love and

All your lovers' revenge

You and me could write a bad romance



Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!

Caught in a bad romance

Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!

Caught in a bad romance



Rah-rah-ah-ah-ah-ah!

Roma-roma-mamaa!

Ga-ga-ooh-la-la!

Want your bad romance



I want your horror

I want your design

'Cause you're a criminal

As long as your mine

I want your love

(Love-love-love I want your love-uuhh)



I want your psycho

Your vertigo stick

Want you in my rear window

Baby you're sick

I want your love

Love-love-love

I want your love

(Love-love-love I want your love)



You know that I want you

('Cause I'm a free bitch baby!)

And you know that I need you

I want it bad, bad romance



I want your love and

I want your revenge

You and me could write a bad romance

(Oh-oh-oh-oh-oh!)

I want your love and

All your lovers' revenge

You and me could write a bad romance



Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!

Caught in a bad romance

Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!

Caught in a bad romance



Rah-rah-ah-ah-ah-ah!

Roma-roma-mamaa!

Ga-ga-ooh-la-la!

Want your bad romance



Rah-rah-ah-ah-ah-ah!

Roma-roma-mamaa!

Ga-ga-ooh-la-la!

Want your bad romance



Walk, walk fashion baby

Work it

Move that bitch crazy



Walk, walk fashion baby

Work it

Move that bitch crazy



Walk, walk fashion baby

Work it

Move that bitch crazy



Walk, walk fashion baby

Work it

I'm a freak bitch, baby



I want your love and

I want your revenge

I want your love

I don't wanna be friends



Je veux ton amour

Et je veux ta revanche

J'veux ton amour

I don't wanna be friends

Oh-oh-oh-oh-oooh!

I don't wanna be friends

(Caught in a bad romance)

I don't wanna be friends

Oh-oh-oh-oh-oooh!

Want your bad romance

(Caught in a bad romance)

Want your bad romance!



I want your love and

I want your revenge

You and me could write a bad romance

Oh-oh-oh-oh-oooh!

I want your love and

All your lovers' revenge

You and me could write a bad romance



Oh-oh-oh-oh-oooh-oh-oh-oooh-oh-oh-oh-oh!

Want your bad romance

(Caught in a bad romance)

Want your bad romance



Oh-oh-oh-oh-oooh-oh-oh-oooh-oh-oh-oh-oh!

Want your bad romance

(Caught in a bad romance)



Rah-rah-ah-ah-ah-ah!

Roma-roma-mamaa!

Ga-ga-ooh-la-la!

Want your bad romance",0,Bad Romance,Desire (love/flirting),Love (devotion),2000,50,Bad RomanceLady Gaga
Maroon 5,2011,"Oh

Oh

Just shoot for the stars

If it feels right, then aim for my heart

If you feel like

And take me away

And make it okay

I swear I'll behave

You wanted control, so we waited

I put on a show, now I'm naked

You say I'm a kid

My ego is big

I don't give a shit

And it goes like this, uh



Take me by the tongue and I'll know you (Uh)

Kiss me 'til you're drunk and I'll show you

You want the moves like Jagger

I've got them moves like Jagger

I've got them moves like Jagger (Uh)

I don't need to try to control you (Uh)

Look into my eyes and I'll own you

With them moves like Jagger

I've got them moves like Jagger

I've got them moves like Jagger



Maybe it's hard, when you feel like

You're broken and scarred, nothing feels right

But when you're with me

I'll make you believe

That I've got the key

Oh, so get in the car, we can ride it

Wherever you want, get inside it

And you wanna steer, but I'm shifting gears

I'll take it from here (Oh, yeah, yeah)

And it goes like this, uh



Take me by the tongue and I'll know you (Uh)

Kiss me 'til you're drunk and I'll show you

You want the moves like Jagger

I've got them moves like Jagger

I've got them moves like Jagger (Woo, uh)

I don't need to try to control you (Oh yeah)

Look into my eyes and I'll own you

With them moves like Jagger

I've got them moves like Jagger (Yeah, yeah, yeah)

I've got them moves like Jagger



Uh, you wanna know, how to make me smile?

Take control, own me just for the night

And if I share my secret

You're gonna have to keep it

Nobody else can see this (Uh)

So watch and learn, I won't show you twice

Head to toe, ooh baby, rub me right, yeah

And if I share my secret

You're gonna have to keep it

Nobody else can see this

Hey, hey, hey, yeah

And it goes like this, uh



Take me by the tongue and I'll know you (Take me by the tongue)

Kiss me till you're drunk and I'll show you (Yeah, yeah)

You want the moves like Jagger

I've got the moves like Jagger

I've got the moves like Jagger (Oh yeah)

I don't need to try to control you (Ooh)

Look into my eyes and I'll own you (Ooh)

With them moves like Jagger

I've got them moves like Jagger

I've got them moves like Jagger",1,Moves like Jagger,Desire (love/flirting),Dancing (clubbing/happy),2010,51,Moves like JaggerMaroon 5
Kelly Clarkson,2012,"You know the bed feels warmer

Sleeping here alone

You know I dream in colour

And do the things I want

You think you got the best of me

Think you had the last laugh

Bet you think that everything good is gone

Think you left me broken down

Think that I'd come running back

Baby you don't know me, cause you're dead wrong



What doesn't kill you makes you stronger

Stand a little taller

Doesn't mean I'm lonely when I'm alone

What doesn't kill you makes a fighter

Footsteps even lighter

Doesn't mean I'm over 

cause you're gone



What doesn't kill you makes you stronger, stronger

Just me, myself and I

What doesn't kill you makes you stronger

Stand a little taller

Doesn't mean I'm lonely when I'm alone



You heard that I was starting over with someone new

They told you I was moving on, over you



You didn't think that I'd come back

I'd come back swinging

You try to break me, but you see



What doesn't kill you makes you stronger

Stand a little taller

Doesn't mean I'm lonely when I'm alone

What doesn't kill you makes a fighter

Footsteps even lighter

Doesn't mean I'm over 

cause you're gone



What doesn't kill you makes you stronger, stronger

Just me, myself and I

What doesn't kill you makes you stronger

Stand a little taller

Doesn't mean I'm lonely when I'm alone



Thanks to you I got a new thing started

Thanks to you I'm not a broken hearted

Thanks to you I'm finally thinking bout me

You know in the end, 

the day you left was just my beginning

In the end...



What doesn't kill you makes you stronger

Stand a little taller

Doesn't mean I'm lonely when I'm alone

What doesn't kill you makes a fighter

Footsteps even lighter

Doesn't mean I'm over 

cause you're gone



What doesn't kill you makes you stronger, stronger

Just me, myself and I

What doesn't kill you makes you stronger

Stand a little taller

Doesn't mean I'm lonely when I'm alone



Not alone





(Thanks to CARLETTO90 for these lyrics and to martine131193 for corrections)",1,Stronger (What Doesn't Kill You),Break-up (heartbreak),Motivation (independance/confidence),2010,52,Stronger (What Doesn't Kill You)Kelly Clarkson
Florida Georgia Line,2013,"Baby you a song

You make me wanna roll my windows down and cruise

Hey baby

When I first saw that bikini top on her

She's poppin' right out of the South Georgia water

Thought ol' good lord she had them long tanned legs

Couldn't help myself so I walked up and said



Baby you a song

You make me wanna roll my windows down and cruise

Down a back road blowin' stop signs through the middle

Every little farm town with you

In this brand new Chevy with a lift kit

It'd look a hell lot better with you up in it

So baby you a song

You make me wanna roll my windows down and cruise



She was sippin' on southern and singin' bars of tucker

We were falling in love in the sweet heart of summer

She hopped right up into the cab of my truck and said

Fire it up let's go get this thing stuck



Baby you a song

You make me wanna roll my windows down and cruise

Down a back road blowin' stop signs through the middle

Every little farm town with you

In this brand new Chevy with a lift kit

It'd look a hell lot better with you up in it

So baby you a song

You make me wanna roll my windows down and cruise



When that summer sun fell to its knees

I looked at her and she looked at me

And I turned on those KC lights and drove all night

Cause it felt so right, her and I, man we felt so right



I put it in parking

Grabbed my guitar

And strummed a couple chords

And sang from the heart

Girl you sure got the beat in my chest bumpin'

Hell I can't get you out of my head



Baby you a song

You make me wanna roll my windows down and cruise

Down a back road blowin' stop signs through the middle

Every little farm town with you



Baby you a song

You make me wanna roll my windows down and cruise

Down a back road blowin' stop signs through the middle

Every little farm town with you

In this brand new Chevy with a lift kit

It'd look a hell lot better with you up in it

Come on



Baby you a song

You make me wanna roll my windows down and cruise

Come on girl

Get those windows down and cruise

Aww yea",0,Cruise,Desire (love/flirting),Love (devotion),2000,53,CruiseFlorida Georgia Line
Magic!,2014,"Saturday morning jumped out of bed

and put on my best suit

Got in my car and raced like a jet

all the way to you

Knocked on your door

with heart in my hand

To ask you a question

Cause I know that you're

an old fashioned man yeah yeah



Can I have your daughter for the rest of my life? Say yes, say yes

Cause I need to know

You say I'll never get your blessing till the day I die

Tough luck my friend but the answer is no!



Why you gotta be so rude?

Don't you know I'm human too

Why you gotta be so rude

I'm gonna marry her anyway

Marry that girl

Marry her anyway

Marry that girl

Yeah no matter what you say

Marry that girl

And we'll be a family



Why you gotta be so rude?



I hate to do this

you leave no choice

I can't live without her

Love me or hate me

We will be boys

Standing at that alter

Or we will run away

To another galaxy you know

You know she's in love with me

She will go anywhere I go



Can I have your daughter for the rest of my life? Say yes, say yes

Cause I need to know

You say I'll never get your blessing till the day I die

Tough luck my friend cause the answer's still no!



Why you gotta be so rude?

Don't you know I'm human too

Why you gotta be so rude

I'm gonna marry her anyway

Marry that girl

Marry her anyway

Marry that girl

Yeah no matter what you say

Marry that girl

And we'll be a family



Why you gotta be so rude, rude?



Can I have your daughter for the rest of my life? Say yes, say yes

Cause I need to know

You say I'll never get your blessing till the day I die

Tough luck my friend but no still means no!



Why you gotta be so rude?

Don't you know I'm human too

Why you gotta be so rude

I'm gonna marry her anyway

Marry that girl

Marry her anyway

Marry that girl

Yeah no matter what you say

Marry that girl

And we'll be a family



Why you gotta be so rude?

Why you gotta be so rude?

Why you gotta be so rude?",0,Rude,Desire (love/flirting),Love (devotion),2010,54,RudeMagic!
Taylor Swift,2015,"Nice to meet you

Where you been?

I could show you incredible things

Magic, madness, heaven, sins

Saw you there and I thought oh my god

Look at that face, you look like my next mistake

Love's a game, wanna play?

New money, suit and tie

I can read you like a magazine

Ain't it funny rumors fly

And I know you heard about me

So hey, let's be friends

I'm dying to see how this one ends

Grab your passport and my hand

I can make the bad guys good for a weekend



So it's gonna be forever

Or it's gonna go down in flames

You can tell me when it's over

If the high was worth the pain

Got a long list of ex-lovers

They'll tell you I'm insane

Cause you know I love the players

And you love the game



Cause we're young and we're reckless

We'll take this way too far, It'll leave you breathless

Or with a nasty scar

Got a long list of ex-lovers

They'll tell you I'm insane

But I've got a blank space baby

And I'll write your name



Cherry lips

Crystal skies

I could show you incredible things

Stolen kisses, pretty lies 

You're the king baby I'm your queen

Find out what you want

Be that girl for a month

Wait, the worst is yet to come

Oh no

Screaming, crying, perfect storms

I can make all the tables turn

Rose garden filled with thorns

Keep you second guessing like, oh my god

Who is she? I get drunk on jealousy

But you'll come back each time you leave

Cause darling I'm a nightmare dressed like a daydream



So it's gonna be forever

Or it's gonna go down in flames

You can tell me when it's over

If the high was worth the pain

Got a long list of ex-lovers

They'll tell you I'm insane

Cause you know I love the players

And you love the game



Cause we're young and we're reckless

We'll take this way too far, It'll leave you breathless

Or with a nasty scar

Got a long list of ex-lovers

They'll tell you I'm insane

But I've got a blank space baby

And I'll write your name



Boys only want love

If it's torture

Don't say I didn't say I didn't warn you

Boys only want love, If it's torture

Don't say I didn't say I didn't warn you



So it's gonna be forever

Or it's gonna go down in flames

You can tell me when it's over

If the high was worth the pain

Got a long list of ex-lovers

They'll tell you I'm insane

Cause you know I love the players

And you love the game



Cause we're young and we're reckless

We'll take this way too far, It'll leave you breathless

Or with a nasty scar

Got a long list of ex-lovers

They'll tell you I'm insane

But I've got a blank space baby

And I'll write your name",0,Blank Space,Desire (love/flirting),"Jealousy (cheating, promiscuity)",2000,55,Blank SpaceTaylor Swift
The Chainsmokers,2016,"Crashing, hit a wall

Right now I need a miracle

Hurry up now, I need a miracle

Stranded, reaching out

I call your name but you're not around

I say your name but you're not around



I need you, I need you, I need you right now

Yeah, I need you right now

So don't let me, don't let me, don't let me down

I think I'm losing my mind now

It's in my head, darling, I hope

That you'll be here, when I need you the most

So don't let me, don't let me, don't let me down

D-don't let me down



Don't let me down

Don't let me down, down, down

Don't let me down, don't let me down, down, down



Running out of time

I really thought you were on my side

But now there's nobody by my side



I need you, I need you, I need you right now

Yeah, I need you right now

So don't let me, don't let me, don't let me down

I think I'm losing my mind now

It's in my head, darling, I hope

That you'll be here, when I need you the most

So don't let me, don't let me, don't let me down

D-don't let me down



Don't let me down

Don't let me down, down, down

Don't let me down, down, down

Don't let me down, down, down

Don't let me down, don't let me down, down, down



Ooh, I think I'm losing my mind now, yeah

Ooh, I think I'm losing my mind now, yeah



I need you, I need you, I need you right now

Yeah, I need you right now

So don't let me, don't let me, don't let me down

I think I'm losing my mind now

It's in my head, darling, I hope

That you'll be here, when I need you the most

So don't let me, don't let me, don't let me down

Don't let me down



Yeah, don't let me down

Yeah, don't let me down

Don't let me down, oh, no

Said don't let me down

Don't let me down



Don't let me down

Don't let me down, down, down",1,Don't Let Me Down,Break-up (heartbreak),Struggle (mental health/societal issue),2010,56,Don't Let Me DownThe Chainsmokers
Sam Hunt,2017,"Got a girl from the south side, got braids in her hair

First time I seen her walk by, man I 'bout fell off my chair

Had to get her number, it took me like six weeks

Now me and her go way back like Cadillac seats

Body like a back road, drivin' with my eyes closed

I know every curve like the back of my hand

Doin' 15 in a 30, I ain't in no hurry

I'ma take it slow just as fast as I can



The way she fit in them blue jeans, she don't need no belt

But I can turn them inside out, I don't need no help

Got hips like honey, so thick and so sweet

It ain't no curves like hers on them downtown streets



Body like a back road, drivin' with my eyes closed

I know every curve like the back of my hand

Doin' 15 in a 30, I ain't in no hurry

I'ma take it slow just as fast as I can



We're out here in the boondocks

With the breeze and the birds

Tangled up in the tall grass

With my lips on hers

On the highway to heaven

Headed south of her smile

Get there when we get there

Every inch is a mile



Body like a back road, drivin' with my eyes closed

I know every curve like the back of my hand

Doin' 15 in a 30, I ain't in no hurry

I'ma take it slow just as fast as I can



I'ma take it slow

As fast as I can

Body like a back road

Drivin' with my eyes closed

I know every curve like the back of my hand",0,Body Like a Back Road,Desire (love/flirting),Dancing (clubbing/happy),2000,57,Body Like a Back RoadSam Hunt
Cardi B,2018,"Yeah baby

I like it like that

You gotta believe me when I tell you

I said I like it like that

You gotta believe me when I tell you

I said I like it like that



Now I like dollars, I like diamonds

I like stunting, I like shining

I like million dollar deals

Where's my pen, bitch I'm signin'

I like those Balenciagas

The ones that look like socks

I like going to the jeweler

I put rocks all in my watch

I like texts from my exes

When they want a second chance

I like proving niggas wrong

I do what they say I can't

They call me Cardi Bardi, banging body

Spicy mami, hot tamale

Hotter than a Somali

Fur coat, Ferrari

Hop out the stu, jump in the coupe

They trippin' on top of the roof

Flexing on bitches as hard as I can

Eating halal, driving the Lam'

Told that bitch I'm sorry, though

'Bout my coins like Mario

Yeah they call me Cardi B

I run this shit like cardio

Oh, damn



Diamonds, just forget the chains

I said I like it like that

Instead of fighting, know I'm gang gang gang gang

I said I like it like that

Drop the top and blow the brains

I said I like it like that

Oh he's so handsome, what's his name?

I said I like it like that

Oh I need the dollars

I said I like it like that

Beat it up like piñatas

I said I like it like that

Tell the driver, close the curtains

I said I like it like that

Bad bitch make him nervous

I said I like it like that

Cardi B!



Chambean, chambean, pero no jalan (¡jalan!)

Tú compras to'a las Jordan, bobo, a mí me las regalan

I spend in the club (wuh), while you hop in the bank (yeh)

This is the new religion, bang, en latino gang, gang, yeh, yeh

Trato de hacer dieta (heh), pero es que en el closet tengo mucha grasa (wuh)

Ya mude la Gucci pa' dentro de casa, yeh (¡wuh!)

Cabrón, a ti no te conocen ni en Plaza (no)

El Diablo me llama pero Jesucristo me abraza

Guerrero como Eddie, que viva la raza (yeh)

Me gustan boricuas, me gustan cubanas

Me gusta el acento de las colombianas (¿qué hubo pues?)

Como mueve el culo la dominicana (¿qué lo que?)

Lo rico que me chingan las venezolanas (woo!)

Andamos activos, Perico Pin-Pin

Billetes de cien en el maletín (ching)

Que retumbe el bajo, Bobby Valentin, yeh

Aquí es prohibido amar, diles Charytín

Que pa'l pico les tengo Claritin

Yo llego a la disco y se forma el motín



Diamonds, just forget the chains

Bad Bunny Pa, pa, pa, pa

I said I like it like that

Instead of fighting, know I'm gang gang gang gang

I said I like it like that

Drop the top and blow the brains

I said I like it like that

Oh he's so handsome, what's his name?

I said I like it like that

Oh I need the dollars

I said I like it like that

Beat it up like piñatas

I said I like it like that

Tell the driver, close the curtains

I said I like it like that

Bad bitch make him nervous

I said I like it like that



Como Celia Cruz tengo el azucar (azuca')

Tu jeva me vio y se fue de pecho como Jimmy Snuka

Te vamos a tumbar la peluca

Y arranca pa'l carajo cabrón, que a ti no te vo'a pasar la juca (juca, juca)

Mis tenis Balenciaga, me reciben en la entrada

Pa-pa-pa-pa-razzi, like I'm Lady Gaga

Y no te me hagas, que en cover de Billboard tú has visto mi cara

No salgo de tu mente

Donde quieras que viajes has escuchado \""Mi Gente\""

Yo no soy high, soy como el Testarossa (Testarossa)

Yo soy el que se la vive y también el que la goza (goza, goza)

En la cosa, mami en la cosa (cosa, cosa)

El quien mira sufre y el que toca goza (goza, goza)



I said I like it like that

I said I like it like that (rrr)

I said I like it like that

I said I like it like that



Diamonds, just forget the chains

I said I like it like that

Instead of fighting, know I'm gang gang gang gang

I said I like it like that

Drop the top and blow the brains

I said I like it like that

Oh he's so handsome, what's his name?

I said I like it",1,I Like It,Desire (love/flirting),Money (power/flexing),2010,58,I Like ItCardi B
